"DSLR","APS-C","Enthusiast, hobbyist","","","","D30","D30","D30","D30","D30","D60","D60","D60","D60","10D","10D","10D","10D","10D","10D","20D","20D","20D","20D","20D","20D","30D","30D","30D","30D","30D","30D","40D","40D","40D","40D","50D","50D","50D","50D","50D","50D","50D","50D","x 60D A","x 60D A","x 60D A","x 60D A","x 60D A","x 60D A","x 60D A","x 60D A","x 60D A","x 60D A","x 60D A","x 60D A","x 70D AT","x 70D AT","x 70D AT","x 70D AT","x 70D AT","x 70D AT","x 70D AT","x 70D AT","x 70D AT","x 70D AT","x 70D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","80D AT","90D AT","90D AT","90D AT","90D AT","90D AT","90D AT","90D AT","90D AT","90D AT","90D AT","90D AT","90D AT","90D AT"
"DSLR","APS-C","Enthusiast, hobbyist","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760D AT","760D AT","760D AT","760D AT","760D AT","760D AT","760D AT","760D AT","77D AT","77D AT","77D AT","77D AT","77D AT","77D AT","77D AT","77D AT","77D AT","77D AT","77D AT","77D AT","","","","","","","","","","",""
"DSLR","APS-C","Entry-level, beginner","","","","","","","","","","","","","","","300D","300D","300D","300D","300D","300D","350D","350D","350D","350D","350D","350D","400D","400D","400D","400D","400D","400D","450D","450D","450D","450D","x 500D","x 500D","x 500D","x 500D","x 550D","x 550D","x 550D","x 550D","x 600D A","x 600D A","x 600D A","x 600D A","x 600D A","x 650D AT","x 650D AT","x 650D AT","x 650D AT","x 700D AT","x 700D AT","x 700D AT","x 700D AT","x 700D AT","x 700D AT","x 700D AT","x 700D AT","750D AT","750D AT","750D AT","750D AT","750D AT","750D AT","750D AT","750D AT","800D AT","800D AT","800D AT","800D AT","800D AT","800D AT","800D AT","800D AT","800D AT","800D AT","800D AT","800D AT","850D AT","850D AT","850D AT","850D AT","850D AT","850D AT","850D AT","850D AT","850D AT","850D AT","850D AT"
"DSLR","APS-C","Entry-level, beginner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","x 100D T","200D AT","200D AT","200D AT","200D AT","200D AT","200D AT","200D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT","250D AT"
"DSLR","APS-C","Entry-level, beginner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000D","1000D","1000D","1000D","1000D","1000D","1000D","1000D","1000D","1000D","1000D","x 1100D","x 1100D","x 1100D","x 1100D","x 1100D","x 1100D","x 1100D","x 1100D","x 1100D","x 1100D","x 1100D","x 1100D","x 1200D","x 1200D","x 1200D","x 1200D","x 1200D","x 1200D","x 1200D","x 1200D","x 1200D","1300D","1300D","1300D","1300D","1300D","1300D","1300D","1300D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D","2000D"
"DSLR","APS-C","Entry-level, beginner","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D","4000D"
"MILC","Full-frame","Professional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R3 ATS","R3 ATS","R3 ATS","R3 ATS","R3 ATS","R3 ATS"
"MILC","Full-frame","Professional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R5 ATS","R5 ATS","R5 ATS","R5 ATS","R5 ATS","R5 ATS","R5 ATS","R5 ATS","R5 ATS","R5 ATS"
"MILC","Full-frame","Professional","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R6 ATS","R6 ATS","R6 ATS","R6 ATS","R6 ATS","R6 ATS","R6 ATS","R6 ATS","R6 ATS","R6 ATS"
"MILC","Full-frame","Advanced, prosumer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ra AT","Ra AT","Ra AT","Ra AT","Ra AT","Ra AT","Ra AT","Ra AT","Ra AT","","","",""
